config_id,architecture,dropout,batch_size,dense_units,epochs,learning_rate,image_width,image_height,part_id
base_cnn_drop_0p2_batch_16_dense_64,base_cnn,0.2,16,64,50,0.0001,640,640,3
base_cnn_drop_0p2_batch_32_dense_64,base_cnn,0.2,32,64,50,0.0001,640,640,3
base_cnn_drop_0p2_batch_64_dense_64,base_cnn,0.2,64,64,50,0.0001,640,640,3
base_cnn_drop_0p2_batch_128_dense_64,base_cnn,0.2,128,64,50,0.0001,640,640,3
base_cnn_drop_0p5_batch_16_dense_64,base_cnn,0.5,16,64,50,0.0001,640,640,3
base_cnn_drop_0p5_batch_32_dense_64,base_cnn,0.5,32,64,50,0.0001,640,640,3
base_cnn_drop_0p5_batch_64_dense_64,base_cnn,0.5,64,64,50,0.0001,640,640,3
base_cnn_drop_0p5_batch_128_dense_64,base_cnn,0.5,128,64,50,0.0001,640,640,3
base_cnn_drop_0p7_batch_16_dense_64,base_cnn,0.7,16,64,50,0.0001,640,640,3
base_cnn_drop_0p7_batch_32_dense_64,base_cnn,0.7,32,64,50,0.0001,640,640,3
base_cnn_drop_0p7_batch_64_dense_64,base_cnn,0.7,64,64,50,0.0001,640,640,3
base_cnn_drop_0p7_batch_128_dense_64,base_cnn,0.7,128,64,50,0.0001,640,640,3
vgg16_drop_0p2_batch_16_dense_64,vgg16,0.2,16,64,50,0.0001,640,640,3
vgg16_drop_0p2_batch_32_dense_64,vgg16,0.2,32,64,50,0.0001,640,640,3
vgg16_drop_0p2_batch_64_dense_64,vgg16,0.2,64,64,50,0.0001,640,640,3
vgg16_drop_0p2_batch_128_dense_64,vgg16,0.2,128,64,50,0.0001,640,640,3
vgg16_drop_0p5_batch_16_dense_64,vgg16,0.5,16,64,50,0.0001,640,640,3
vgg16_drop_0p5_batch_32_dense_64,vgg16,0.5,32,64,50,0.0001,640,640,3
vgg16_drop_0p5_batch_64_dense_64,vgg16,0.5,64,64,50,0.0001,640,640,3
vgg16_drop_0p5_batch_128_dense_64,vgg16,0.5,128,64,50,0.0001,640,640,3
vgg16_drop_0p7_batch_16_dense_64,vgg16,0.7,16,64,50,0.0001,640,640,3
vgg16_drop_0p7_batch_32_dense_64,vgg16,0.7,32,64,50,0.0001,640,640,3
vgg16_drop_0p7_batch_64_dense_64,vgg16,0.7,64,64,50,0.0001,640,640,3
vgg16_drop_0p7_batch_128_dense_64,vgg16,0.7,128,64,50,0.0001,640,640,3
resnet34_drop_0p2_batch_16_dense_64,resnet34,0.2,16,64,50,0.0001,640,640,3
resnet34_drop_0p2_batch_32_dense_64,resnet34,0.2,32,64,50,0.0001,640,640,3
resnet34_drop_0p2_batch_64_dense_64,resnet34,0.2,64,64,50,0.0001,640,640,3
resnet34_drop_0p2_batch_128_dense_64,resnet34,0.2,128,64,50,0.0001,640,640,3
resnet34_drop_0p5_batch_16_dense_64,resnet34,0.5,16,64,50,0.0001,640,640,3
resnet34_drop_0p5_batch_32_dense_64,resnet34,0.5,32,64,50,0.0001,640,640,3
resnet34_drop_0p5_batch_64_dense_64,resnet34,0.5,64,64,50,0.0001,640,640,3
resnet34_drop_0p5_batch_128_dense_64,resnet34,0.5,128,64,50,0.0001,640,640,3
resnet34_drop_0p7_batch_16_dense_64,resnet34,0.7,16,64,50,0.0001,640,640,3
resnet34_drop_0p7_batch_32_dense_64,resnet34,0.7,32,64,50,0.0001,640,640,3
resnet34_drop_0p7_batch_64_dense_64,resnet34,0.7,64,64,50,0.0001,640,640,3
resnet34_drop_0p7_batch_128_dense_64,resnet34,0.7,128,64,50,0.0001,640,640,3
densenet121_drop_0p2_batch_16_dense_64,densenet121,0.2,16,64,50,0.0001,640,640,3
densenet121_drop_0p2_batch_32_dense_64,densenet121,0.2,32,64,50,0.0001,640,640,3
densenet121_drop_0p2_batch_64_dense_64,densenet121,0.2,64,64,50,0.0001,640,640,3
densenet121_drop_0p2_batch_128_dense_64,densenet121,0.2,128,64,50,0.0001,640,640,3
densenet121_drop_0p5_batch_16_dense_64,densenet121,0.5,16,64,50,0.0001,640,640,3
densenet121_drop_0p5_batch_32_dense_64,densenet121,0.5,32,64,50,0.0001,640,640,3
densenet121_drop_0p5_batch_64_dense_64,densenet121,0.5,64,64,50,0.0001,640,640,3
densenet121_drop_0p5_batch_128_dense_64,densenet121,0.5,128,64,50,0.0001,640,640,3
densenet121_drop_0p7_batch_16_dense_64,densenet121,0.7,16,64,50,0.0001,640,640,3
densenet121_drop_0p7_batch_32_dense_64,densenet121,0.7,32,64,50,0.0001,640,640,3
densenet121_drop_0p7_batch_64_dense_64,densenet121,0.7,64,64,50,0.0001,640,640,3
densenet121_drop_0p7_batch_128_dense_64,densenet121,0.7,128,64,50,0.0001,640,640,3
